Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All Events,1000,16,15,25,30,56,6,91,0.000%,98.35743,288.83,12.49
TOTAL,1000,16,15,25,30,56,6,91,0.000%,98.35743,288.83,12.49
