Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get All Events,250,20,10,127,11.56,0.000%,25.67790,75.45,3.26,3009.0
TOTAL,250,20,10,127,11.56,0.000%,25.67790,75.45,3.26,3009.0
