Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get All Events,1000,16,6,91,8.42,0.000%,98.35743,288.83,12.49,3007.0
TOTAL,1000,16,6,91,8.42,0.000%,98.35743,288.83,12.49,3007.0
